KOGENERA,20200817,36.7000,37.6000,36.7000,36.8000,655
KOMPAP,20200817,7.9500,7.9500,7.9500,7.9500,500
KOMPUTRON,20200817,2.1800,2.1800,2.1200,2.1200,2062
KPPD,20200817,26.8000,26.8000,26.8000,26.8000,105
KREC,20200817,7.7000,7.7000,7.7000,7.7000,14
KREDYTIN,20200817,10.2000,10.2000,10.2000,10.2000,2
KRKA,20200817,399.0000,399.0000,397.0000,399.0000,540
KRUK,20200817,135.5000,141.0000,135.5000,139.0000,25551
KRUSZWICA,20200817,58.8000,59.0000,57.8000,58.0000,5225
KRVITAMIN,20200817,7.1000,7.4000,6.4000,6.5600,87556
KSGAGRO,20200817,1.3700,1.5000,1.3700,1.5000,1006
LABOPRINT,20200817,9.7400,9.7400,9.7400,9.7400,14
LARQ,20200817,2.7400,2.7400,2.5000,2.5200,43391
LENA,20200817,3.5000,3.5400,3.4500,3.5300,16515
LENTEX,20200817,9.3200,9.6400,9.3200,9.5000,2793
LIBET,20200817,1.8400,1.9300,1.8400,1.8700,4200
LIVECHAT,20200817,98.8000,100.0000,96.3000,98.0000,10575
LOKUM,20200817,11.9500,11.9500,11.8500,11.8500,1130
LOTOS,20200817,48.3000,48.5200,46.5200,46.6800,621870
LPP,20200817,7445.0000,7490.0000,7275.0000,7380.0000,1061
LUBAWA,20200817,1.4750,1.4850,1.4500,1.4850,147803
MABION,20200817,24.8500,25.5000,24.2500,25.5000,10920
MAKARONPL,20200817,5.7000,5.7000,5.5500,5.6500,2750
MANGATA,20200817,51.5000,51.5000,49.6000,50.0000,206
MARVIPOL,20200817,4.5800,4.7000,4.5800,4.6500,15278
MASTERPHA,20200817,4.8300,4.8300,4.7500,4.7500,3692
MAXCOM,20200817,14.2500,14.2500,13.7000,14.0000,1539
MBANK,20200817,208.0000,208.0000,200.8000,201.6000,17214
MBWS,20200817,5.7900,5.7900,5.4900,5.4900,1463
MCI,20200817,11.5500,11.9000,11.5500,11.9000,2168
MDIENERGIA,20200817,5.0000,5.2000,4.8100,4.9300,43467
MEDIACAP,20200817,2.5000,2.7500,2.5000,2.5100,59221
MEDICALG,20200817,28.0000,28.1000,25.5000,26.3000,10990
MENNICA,20200817,22.4000,22.4000,20.6000,21.2000,15642
MERCATOR,20200817,327.0000,338.0000,320.0000,331.0000,39160
MERCOR,20200817,9.7000,9.7600,9.6000,9.7600,10600
MEXPOLSKA,20200817,1.4900,1.4900,1.3800,1.4600,13505
MFO,20200817,22.4000,23.0000,22.4000,22.8000,5862
MILLENNIUM,20200817,3.0340,3.0700,3.0060,3.0300,663324
MIRACULUM,20200817,1.3450,1.3900,1.3150,1.3200,73251
MIRBUD,20200817,1.6500,1.6850,1.6400,1.6850,143842
MLPGROUP,20200817,74.5000,75.0000,72.0000,72.0000,900
MLSYSTEM,20200817,87.8000,91.0000,86.0000,88.0000,16442
MLSYSTEM-PDA,20200817,88.4000,89.8000,88.4000,89.8000,206
MOBRUK,20200817,240.0000,242.0000,234.0000,234.0000,151
MOJ,20200817,1.2300,1.2700,1.2100,1.2700,8950
MOL,20200817,22.8200,22.8200,22.3000,22.7200,4134
